age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
30,900924,890629,895245,908357,877287,834848,806212,785652,746600,723586,708916,708941,690730,678538,667346,648456,646636,661682,646752,640573,628267,637987,620619,617989,619873,630259,636815,646516,648711,660221,652755,650087,658441,672296,667638,673763,674683,678053,673267,666604,653370,646952,627318,622503,610390,600788,588788,571157,554311,538537,533049,524019,511273,492593,491131,490421,490166,490104,489916,489864,489843,489599,489561,489238,488352,487456,486074,484513,482490,480745,478873,476709,473967,471064,467954,464795,461406,458162,454969,451610,447970,444423,440746,437034,433236,429507,425879,422474,419163,416206,413301,410583,407998,405591,403472,401621,400019,398464,397021
31,893166,906049,906781,908177,914972,880861,848598,816391,791110,751830,727308,716312,714079,692273,680181,669475,650448,648958,661651,639502,641388,635933,646403,626967,624337,626221,636607,643163,652864,655059,666569,659103,656435,664789,678644,673986,680111,681031,684401,679615,672952,659718,653300,633666,628851,616738,607136,595136,577505,560659,544885,539397,530367,517621,498941,497479,496769,496514,496452,496264,496212,496191,495947,495909,495586,494700,493804,492422,490861,488838,487093,485221,483057,480315,477412,474302,471143,467754,464510,461317,457958,454318,450771,447094,443382,439584,435855,432227,428822,425511,422554,419649,416931,414346,411939,409820,407969,406367,404812
32,921367,896733,918756,916517,911436,917044,891104,855534,819346,794814,753237,734319,720876,715538,693458,681886,670717,652430,649095,655408,640417,648946,643835,651215,631779,629149,631033,641419,647975,657676,659871,671381,663915,661247,669601,683456,678798,684923,685843,689213,684427,677764,664530,658112,638478,633663,621550,611948,599948,582317,565471,549697,544209,535179,522433,503753,502291,501581,501326,501264,501076,501024,501003,500759,500721,500398,499512,498616,497234,495673,493650,491905,490033,487869,485127,482224,479114,475955,472566,469322,466129,462770,459130,455583,451906,448194,444396,440667,437039,433634,430323,427366,424461,421743,419158,416751,414632,412781,411179
33,907912,926071,909430,928570,920311,913405,927496,897100,858065,822683,795912,759793,738827,722073,716830,694656,683056,672536,652402,643652,656863,647487,656413,648556,655936,636500,633870,635754,646140,652696,662397,664592,676102,668636,665968,674322,688177,683519,689644,690564,693934,689148,682485,669251,662833,643199,638384,626271,616669,604669,587038,570192,554418,548930,539900,527154,508474,507012,506302,506047,505985,505797,505745,505724,505480,505442,505119,504233,503337,501955,500394,498371,496626,494754,492590,489848,486945,483835,480676,477287,474043,470850,467491,463851,460304,456627,452915,449117,445388,441760,438355,435044,432087,429182,426464,423879,421472,419353,417502
34,914821,913686,938166,918845,931974,922453,922752,933969,899375,861703,824202,801901,764214,739783,722978,718039,695415,684894,672541,647011,644714,663770,654308,661056,653199,660579,641143,638513,640397,650783,657339,667040,669235,680745,673279,670611,678965,692820,688162,694287,695207,698577,693791,687128,673894,667476,647842,643027,630914,621312,609312,591681,574835,559061,553573,544543,531797,513117,511655,510945,510690,510628,510440,510388,510367,510123,510085,509762,508876,507980,506598,505037,503014,501269,499397,497233,494491,491588,488478,485319,481930,478686,475493,472134,468494,464947,461270,457558,453760,450031,446403,442998,439687,436730,433825,431107,428522,426115,423996
35,943840,919819,925838,947186,922657,933893,931738,928730,936890,902528,862572,829672,806028,765110,741009,723845,718861,696965,685014,667278,648310,651300,670257,658813,665561,657704,665084,645648,643018,644902,655288,661844,671545,673740,685250,677784,675116,683470,697325,692667,698792,699712,703082,698296,691633,678399,671981,652347,647532,635419,625817,613817,596186,579340,563566,558078,549048,536302,517622,516160,515450,515195,515133,514945,514893,514872,514628,514590,514267,513381,512485,511103,509542,507519,505774,503902,501738,498996,496093,492983,489824,486435,483191,479998,476639,472999,469452,465775,462063,458265,454536,450908,447503,444192,441235,438330,435612,433027,430620
36,946489,950576,933625,937952,953039,927222,945180,940224,933729,942128,905540,867619,833437,806726,765659,741912,724286,720821,696978,681128,668732,654236,657254,675857,664413,671161,663304,670684,651248,648618,650502,660888,667444,677145,679340,690850,683384,680716,689070,702925,698267,704392,705312,708682,703896,697233,683999,677581,657947,653132,641019,631417,619417,601786,584940,569166,563678,554648,541902,523222,521760,521050,520795,520733,520545,520493,520472,520228,520190,519867,518981,518085,516703,515142,513119,511374,509502,507338,504596,501693,498583,495424,492035,488791,485598,482239,478599,475052,471375,467663,463865,460136,456508,453103,449792,446835,443930,441212,438627
37,958492,951090,960927,943903,943006,956367,937780,952376,944329,938132,944130,910056,871033,833639,807208,765861,742259,725890,720776,693606,682175,674296,659766,661985,680588,669144,675892,668035,675415,655979,653349,655233,665619,672175,681876,684071,695581,688115,685447,693801,707656,702998,709123,710043,713413,708627,701964,688730,682312,662678,657863,645750,636148,624148,606517,589671,573897,568409,559379,546633,527953,526491,525781,525526,525464,525276,525224,525203,524959,524921,524598,523712,522816,521434,519873,517850,516105,514233,512069,509327,506424,503314,500155,496766,493522,490329,486970,483330,479783,476106,472394,468596,464867,461239,457834,454523,451566,448661,445943
38,906125,962393,960446,968518,948261,946183,966067,944598,955700,947990,939840,948332,912952,871157,834054,807330,765795,743989,725693,718130,694653,687364,679184,664016,666235,684838,673394,680142,672285,679665,660229,657599,659483,669869,676425,686126,688321,699831,692365,689697,698051,711906,707248,713373,714293,717663,712877,706214,692980,686562,666928,662113,650000,640398,628398,610767,593921,578147,572659,563629,550883,532203,530741,530031,529776,529714,529526,529474,529453,529209,529171,528848,527962,527066,525684,524123,522100,520355,518483,516319,513577,510674,507564,504405,501016,497772,494579,491220,487580,484033,480356,476644,472846,469117,465489,462084,458773,455816,452911
39,879771,909178,972098,967946,971570,951764,956854,972753,948291,959107,949399,943595,951165,912804,871203,833831,807054,767068,743730,723110,719002,699467,691735,683316,668148,670367,688970,677526,684274,676417,683797,664361,661731,663615,674001,680557,690258,692453,703963,696497,693829,702183,716038,711380,717505,718425,721795,717009,710346,697112,690694,671060,666245,654132,644530,632530,614899,598053,582279,576791,567761,555015,536335,534873,534163,533908,533846,533658,533606,533585,533341,533303,532980,532094,531198,529816,528255,526232,524487,522615,520451,517709,514806,511696,508537,505148,501904,498711,495352,491712,488165,484488,480776,476978,473249,469621,466216,462905,459948
