age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
30,900924,890629,895245,908357,877287,834848,806212,785652,746600,723586,708916,708941,690730,678538,667346,648456,646636,661682,646752,640573,628267,637987,620619,610091,604263,606182,604837,606563,600986,604975,590338,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027
31,893166,906049,906781,908177,914972,880861,848598,816391,791110,751830,727308,716312,714079,692273,680181,669475,650448,648958,661651,639502,641388,635933,646403,620619,610091,604263,606182,604837,606563,600986,604975,590338,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518
32,921367,896733,918756,916517,911436,917044,891104,855534,819346,794814,753237,734319,720876,715538,693458,681886,670717,652430,649095,655408,640417,648946,643835,646403,620619,610091,604263,606182,604837,606563,600986,604975,590338,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218
33,907912,926071,909430,928570,920311,913405,927496,897100,858065,822683,795912,759793,738827,722073,716830,694656,683056,672536,652402,643652,656863,647487,656413,643835,646403,620619,610091,604263,606182,604837,606563,600986,604975,590338,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025
34,914821,913686,938166,918845,931974,922453,922752,933969,899375,861703,824202,801901,764214,739783,722978,718039,695415,684894,672541,647011,644714,663770,654308,656413,643835,646403,620619,610091,604263,606182,604837,606563,600986,604975,590338,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234
35,943840,919819,925838,947186,922657,933893,931738,928730,936890,902528,862572,829672,806028,765110,741009,723845,718861,696965,685014,667278,648310,651300,670257,654308,656413,643835,646403,620619,610091,604263,606182,604837,606563,600986,604975,590338,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865
36,946489,950576,933625,937952,953039,927222,945180,940224,933729,942128,905540,867619,833437,806726,765659,741912,724286,720821,696978,681128,668732,654236,657254,670257,654308,656413,643835,646403,620619,610091,604263,606182,604837,606563,600986,604975,590338,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938
37,958492,951090,960927,943903,943006,956367,937780,952376,944329,938132,944130,910056,871033,833639,807208,765861,742259,725890,720776,693606,682175,674296,659766,657254,670257,654308,656413,643835,646403,620619,610091,604263,606182,604837,606563,600986,604975,590338,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281
38,906125,962393,960446,968518,948261,946183,966067,944598,955700,947990,939840,948332,912952,871157,834054,807330,765795,743989,725693,718130,694653,687364,679184,659766,657254,670257,654308,656413,643835,646403,620619,610091,604263,606182,604837,606563,600986,604975,590338,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826
39,879771,909178,972098,967946,971570,951764,956854,972753,948291,959107,949399,943595,951165,912804,871203,833831,807054,767068,743730,723110,719002,699467,691735,679184,659766,657254,670257,654308,656413,643835,646403,620619,610091,604263,606182,604837,606563,600986,604975,590338,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647
