age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
30,900924,890629,895245,908357,877287,834848,806212,785652,746600,723586,708916,708941,690730,678538,667346,648456,646636,661682,646752,640573,628267,637987,620619,617989,619767,629945,636180,645455,647117,657991,649788,646288,653725,666585,660861,665839,665543,667654,661573,653580,638984,631170,610108,603831,590223,579093,565534,546318,527859,510446,503297,492584,478135,457733,449722,442443,435580,428871,422010,415247,408482,401489,394657,387553,379955,372350,364348,356222,347752,339543,331271,322820,313989,305042,295955,286857,277627,268537,259525,250450,241253,232182,223104,214087,205108,196264,187576,179112,170799,162773,154873,147169,139632,132282,125167,118270,111577,104997,98559
31,893166,906049,906781,908177,914972,880861,848598,816391,791110,751830,727308,716312,714079,692273,680181,669475,650448,648958,661651,639502,641388,635933,646403,626967,624252,625946,636039,642189,651379,652957,663746,655459,651874,659226,672002,666193,671087,670706,672732,666566,658489,643808,635910,614763,608402,594709,583494,569851,550550,532006,514509,507275,496478,481944,461457,453361,445998,439050,432256,425311,418464,411614,404536,397619,390431,382748,375058,366972,358761,350207,341913,333557,325021,316105,307073,297902,288719,279405,270230,261133,251974,242691,233536,224374,215272,206209,197280,188507,179959,171561,163450,155465,147676,140055,132621,125421,118440,111662,104997
32,921367,896733,918756,916517,911436,917044,891104,855534,819346,794814,753237,734319,720876,715538,693458,681886,670717,652430,649095,655408,640417,648946,643835,651215,631714,628936,630565,640595,646681,655807,657320,668045,659693,656044,663332,676044,670171,675001,674556,676518,670288,662147,647401,639439,618228,611802,598045,586766,573059,553693,535086,517524,510226,499365,484767,464216,456056,448628,441617,434759,427749,420838,413924,406782,399801,392548,384801,377047,368897,360621,352003,343645,335225,326625,317645,308549,299314,290066,280688,271449,262288,253065,243718,234498,225272,216106,206978,197985,189148,180536,172074,163899,155850,147997,140312,132813,125549,118504,111662
33,907912,926071,909430,928570,920311,913405,927496,897100,858065,822683,795912,759793,738827,722073,716830,694656,683056,672536,652402,643652,656863,647487,656413,648556,655873,636309,633468,635035,645001,651024,660087,661537,672199,663785,660073,667298,679947,674011,678778,678270,680169,673876,665672,650863,642838,621564,615076,601255,589913,576143,556715,538044,520420,513059,502134,487473,466860,458637,451146,444071,437151,430079,423104,416127,408922,401878,394562,386752,378936,370723,362384,353703,345282,336799,328136,319093,309934,300635,291325,281884,272582,263358,254072,244662,235380,226090,216862,207671,198615,189715,181040,172515,164277,156165,148249,140501,132939,125612,118504
34,914821,913686,938166,918845,931974,922453,922752,933969,899375,861703,824202,801901,764214,739783,722978,718039,695415,684894,672541,647011,644714,663770,654308,661056,653137,660392,640767,637863,639368,649272,655234,664235,665623,676223,667747,663973,671136,683723,677725,682430,681860,683697,677342,669076,654206,646119,624783,618233,604351,592947,579115,559624,540892,523206,515783,504796,490073,469398,461113,453560,446424,439441,432307,425270,418232,410965,403859,396481,388609,380731,372456,364055,355313,346830,338284,329560,320455,311234,301874,292501,282998,273635,264349,255000,245529,236184,226833,217543,208290,199172,190210,181473,172886,164586,156412,148435,140624,133001,125612
35,943840,919819,925838,947186,922657,933893,931738,928730,936890,902528,862572,829672,806028,765110,741009,723845,718861,696965,685014,667278,648310,651300,670257,658813,665500,657521,664717,645031,642068,643513,653357,659258,668199,669528,680068,671531,667697,674800,687327,681269,685914,685284,687061,680646,672320,657390,649243,627847,621236,607294,595830,581938,562388,543595,525849,518366,507319,492536,471800,463456,455843,448646,441604,434409,427313,420214,412887,405721,398283,390351,382413,374078,365617,356814,348271,339666,330881,321716,312435,303015,293582,284019,274596,265250,255841,246310,236905,227494,218143,208831,199653,190631,181833,173186,164826,156593,148555,140685,133001
36,946489,950576,933625,937952,953039,927222,945180,940224,933729,942128,905540,867619,833437,806726,765659,741912,724286,720821,696978,681128,668732,654236,657254,675857,664338,670951,662897,670018,650258,647220,648590,658360,664186,673052,674306,684772,676161,672252,679280,691733,685600,690170,689465,691168,684678,676277,661273,653051,631580,624895,610878,599339,585373,565748,546880,529059,521502,510380,495523,474712,466293,458606,451334,444217,436948,429777,422603,415202,407961,400449,392442,384429,376019,367484,358606,349989,341308,332449,323210,313854,304359,294852,285214,275716,266295,256812,247206,237726,228241,218815,209428,200175,191079,182207,173485,165050,156742,148630,140685
37,958492,951090,960927,943903,943006,956367,937780,952376,944329,938132,944130,910056,871033,833639,807208,765861,742259,725890,720776,693606,682175,674296,659766,661985,680524,668943,675493,667376,674433,654611,651509,652816,662523,668286,677089,678280,688683,680008,676037,683002,695391,689195,693702,692935,694574,688021,679558,664490,656205,634671,627923,613843,602241,588211,568523,549593,531709,524088,512904,497983,477109,468627,460876,453542,446362,439030,431795,424559,417094,409790,402215,394145,386069,377596,368998,360057,351376,342633,333711,324408,314989,305431,295861,286160,276599,267115,257569,247900,238357,228808,219320,209869,200554,191394,182459,173674,165177,156805,148630
38,906125,962393,960446,968518,948261,946183,966067,944598,955700,947990,939840,948332,912952,871157,834054,807330,765795,743989,725693,718130,694653,687364,679184,664016,666178,684661,673023,679516,671343,678343,658464,655306,656556,666206,671913,680659,681794,692139,683408,679380,686289,698621,692369,696819,695995,697577,690968,682448,667323,658981,637391,630586,616449,604791,590705,570960,551973,534032,526355,515114,500136,479206,470667,462860,455469,448232,440843,433552,426259,418738,411377,403745,395619,387486,378956,370301,361304,352566,343766,334787,325428,315952,306338,296711,286953,277335,267795,258192,248466,238867,229262,219717,210209,200837,191621,182629,173788,165233,156805
39,879771,909178,972098,967946,971570,951764,956854,972753,948291,959107,949399,943595,951165,912804,871203,833831,807054,767068,743730,723110,719002,699467,691735,683316,668092,670200,688628,676934,683373,675144,682090,662155,658942,660137,669732,675384,684075,685154,695445,686659,682575,689429,701707,695399,699794,698915,700442,693778,685202,670023,661626,639980,633120,618929,607215,593074,573274,554231,536236,528503,517207,502175,481190,472595,464733,457287,449995,442551,435205,427857,420280,412865,405177,396996,388808,380223,371513,362461,353668,344813,335779,326365,316834,307164,297482,287670,277997,268401,258743,248962,239308,229647,220047,210485,201057,191786,182739,173843,165233
40,867729,882067,917270,979671,971104,973743,962193,964034,975932,951856,960310,953207,945705,950732,912484,870791,833227,808091,766871,741417,723448,723466,703590,695613,687142,671867,673923,692299,680554,686940,678660,685554,665568,662303,663447,672990,678590,687229,688257,698495,689658,685523,692325,704551,698191,702535,701604,703079,696363,687736,672505,664056,642359,635447,621204,609438,595245,575394,556300,538252,530468,519120,504036,482999,474353,466439,458942,451598,444102,436704,429304,421676,414209,406470,398237,389997,381361,372599,363495,354651,345744,336658,327192,317609,307888,298154,288290,278565,268918,259209,249376,239670,229958,220306,210692,201212,191889,182791,173843
41,841105,869171,889600,923565,983004,973231,980236,969156,968120,979184,953006,963786,955513,945247,950153,911851,870131,833979,807492,764338,741944,727487,727195,707121,699096,690579,675257,677265,695595,683802,690142,681815,688661,668628,665316,666413,675909,681462,690054,691034,701226,692341,688159,694914,707093,700686,704983,704005,705433,698670,689996,674717,666222,644477,637519,623228,611416,597176,577277,558136,540041,532210,520815,505684,484600,475907,467946,460401,453010,445468,438022,430576,422900,415386,407600,399320,391033,382349,373541,364389,355498,346544,337411,327898,318269,308500,298719,288808,279036,269342,259585,249705,239952,230193,220494,210833,201307,191937,182791
