age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
30,900924,890629,895245,908357,877287,834848,806212,785652,746600,723586,708916,708941,690730,678538,667346,648456,646636,661682,646752,640573,628267,637987,620619,617989,619873,630259,636815,646516,648711,660221,652755,650087,658441,672296,667638,673763,674683,678053,673267,666604,653370,646952,627318,622503,610390,600788,588788,571157,554311,538537,533049,524019,511273,492593,486305,480789,475727,470856,465869,461011,456184,451157,446319,441233,435677,430136,424216,418188,411833,405750,399615,393308,386627,379831,372897,365948,358866,351917,345039,338090,331007,324039,317053,310112,303194,296395,289735,283282,276961,270908,264961,259189,253563,248101,242851,237795,232918,228129,223456
31,893166,906049,906781,908177,914972,880861,848598,816391,791110,751830,727308,716312,714079,692273,680181,669475,650448,648958,661651,639502,641388,635933,646403,626967,624337,626221,636607,643163,652864,655059,666569,659103,656435,664789,678644,673986,680111,681031,684401,679615,672952,659718,653300,633666,628851,616738,607136,595136,577505,560659,544885,539397,530367,517621,498941,492653,487137,482075,477204,472217,467359,462532,457505,452667,447581,442025,436484,430564,424536,418181,412098,405963,399656,392975,386179,379245,372296,365214,358265,351387,344438,337355,330387,323401,316460,309542,302743,296083,289630,283309,277256,271309,265537,259911,254449,249199,244143,239266,234477
32,921367,896733,918756,916517,911436,917044,891104,855534,819346,794814,753237,734319,720876,715538,693458,681886,670717,652430,649095,655408,640417,648946,643835,651215,631779,629149,631033,641419,647975,657676,659871,671381,663915,661247,669601,683456,678798,684923,685843,689213,684427,677764,664530,658112,638478,633663,621550,611948,599948,582317,565471,549697,544209,535179,522433,503753,497465,491949,486887,482016,477029,472171,467344,462317,457479,452393,446837,441296,435376,429348,422993,416910,410775,404468,397787,390991,384057,377108,370026,363077,356199,349250,342167,335199,328213,321272,314354,307555,300895,294442,288121,282068,276121,270349,264723,259261,254011,248955,244078
33,907912,926071,909430,928570,920311,913405,927496,897100,858065,822683,795912,759793,738827,722073,716830,694656,683056,672536,652402,643652,656863,647487,656413,648556,655936,636500,633870,635754,646140,652696,662397,664592,676102,668636,665968,674322,688177,683519,689644,690564,693934,689148,682485,669251,662833,643199,638384,626271,616669,604669,587038,570192,554418,548930,539900,527154,508474,502186,496670,491608,486737,481750,476892,472065,467038,462200,457114,451558,446017,440097,434069,427714,421631,415496,409189,402508,395712,388778,381829,374747,367798,360920,353971,346888,339920,332934,325993,319075,312276,305616,299163,292842,286789,280842,275070,269444,263982,258732,253676
34,914821,913686,938166,918845,931974,922453,922752,933969,899375,861703,824202,801901,764214,739783,722978,718039,695415,684894,672541,647011,644714,663770,654308,661056,653199,660579,641143,638513,640397,650783,657339,667040,669235,680745,673279,670611,678965,692820,688162,694287,695207,698577,693791,687128,673894,667476,647842,643027,630914,621312,609312,591681,574835,559061,553573,544543,531797,513117,506829,501313,496251,491380,486393,481535,476708,471681,466843,461757,456201,450660,444740,438712,432357,426274,420139,413832,407151,400355,393421,386472,379390,372441,365563,358614,351531,344563,337577,330636,323718,316919,310259,303806,297485,291432,285485,279713,274087,268625,263375
35,943840,919819,925838,947186,922657,933893,931738,928730,936890,902528,862572,829672,806028,765110,741009,723845,718861,696965,685014,667278,648310,651300,670257,658813,665561,657704,665084,645648,643018,644902,655288,661844,671545,673740,685250,677784,675116,683470,697325,692667,698792,699712,703082,698296,691633,678399,671981,652347,647532,635419,625817,613817,596186,579340,563566,558078,549048,536302,517622,511334,505818,500756,495885,490898,486040,481213,476186,471348,466262,460706,455165,449245,443217,436862,430779,424644,418337,411656,404860,397926,390977,383895,376946,370068,363119,356036,349068,342082,335141,328223,321424,314764,308311,301990,295937,289990,284218,278592,273130
36,946489,950576,933625,937952,953039,927222,945180,940224,933729,942128,905540,867619,833437,806726,765659,741912,724286,720821,696978,681128,668732,654236,657254,675857,664413,671161,663304,670684,651248,648618,650502,660888,667444,677145,679340,690850,683384,680716,689070,702925,698267,704392,705312,708682,703896,697233,683999,677581,657947,653132,641019,631417,619417,601786,584940,569166,563678,554648,541902,523222,516934,511418,506356,501485,496498,491640,486813,481786,476948,471862,466306,460765,454845,448817,442462,436379,430244,423937,417256,410460,403526,396577,389495,382546,375668,368719,361636,354668,347682,340741,333823,327024,320364,313911,307590,301537,295590,289818,284192
37,958492,951090,960927,943903,943006,956367,937780,952376,944329,938132,944130,910056,871033,833639,807208,765861,742259,725890,720776,693606,682175,674296,659766,661985,680588,669144,675892,668035,675415,655979,653349,655233,665619,672175,681876,684071,695581,688115,685447,693801,707656,702998,709123,710043,713413,708627,701964,688730,682312,662678,657863,645750,636148,624148,606517,589671,573897,568409,559379,546633,527953,521665,516149,511087,506216,501229,496371,491544,486517,481679,476593,471037,465496,459576,453548,447193,441110,434975,428668,421987,415191,408257,401308,394226,387277,380399,373450,366367,359399,352413,345472,338554,331755,325095,318642,312321,306268,300321,294549
38,906125,962393,960446,968518,948261,946183,966067,944598,955700,947990,939840,948332,912952,871157,834054,807330,765795,743989,725693,718130,694653,687364,679184,664016,666235,684838,673394,680142,672285,679665,660229,657599,659483,669869,676425,686126,688321,699831,692365,689697,698051,711906,707248,713373,714293,717663,712877,706214,692980,686562,666928,662113,650000,640398,628398,610767,593921,578147,572659,563629,550883,532203,525915,520399,515337,510466,505479,500621,495794,490767,485929,480843,475287,469746,463826,457798,451443,445360,439225,432918,426237,419441,412507,405558,398476,391527,384649,377700,370617,363649,356663,349722,342804,336005,329345,322892,316571,310518,304571
39,879771,909178,972098,967946,971570,951764,956854,972753,948291,959107,949399,943595,951165,912804,871203,833831,807054,767068,743730,723110,719002,699467,691735,683316,668148,670367,688970,677526,684274,676417,683797,664361,661731,663615,674001,680557,690258,692453,703963,696497,693829,702183,716038,711380,717505,718425,721795,717009,710346,697112,690694,671060,666245,654132,644530,632530,614899,598053,582279,576791,567761,555015,536335,530047,524531,519469,514598,509611,504753,499926,494899,490061,484975,479419,473878,467958,461930,455575,449492,443357,437050,430369,423573,416639,409690,402608,395659,388781,381832,374749,367781,360795,353854,346936,340137,333477,327024,320703,314650
40,867729,882067,917270,979671,971104,973743,962193,964034,975932,951856,960310,953207,945705,950732,912484,870791,833227,808091,766871,741417,723448,723466,703590,695613,687194,672026,674245,692848,681404,688152,680295,687675,668239,665609,667493,677879,684435,694136,696331,707841,700375,697707,706061,719916,715258,721383,722303,725673,720887,714224,700990,694572,674938,670123,658010,648408,636408,618777,601931,586157,580669,571639,558893,540213,533925,528409,523347,518476,513489,508631,503804,498777,493939,488853,483297,477756,471836,465808,459453,453370,447235,440928,434247,427451,420517,413568,406486,399537,392659,385710,378627,371659,364673,357732,350814,344015,337355,330902,324581
41,841105,869171,889600,923565,983004,973231,980236,969156,968120,979184,953006,963786,955513,945247,950153,911851,870131,833979,807492,764338,741944,727487,727195,707121,699144,690725,675557,677776,696379,684935,691683,683826,691206,671770,669140,671024,681410,687966,697667,699862,711372,703906,701238,709592,723447,718789,724914,725834,729204,724418,717755,704521,698103,678469,673654,661541,651939,639939,622308,605462,589688,584200,575170,562424,543744,537456,531940,526878,522007,517020,512162,507335,502308,497470,492384,486828,481287,475367,469339,462984,456901,450766,444459,437778,430982,424048,417099,410017,403068,396190,389241,382158,375190,368204,361263,354345,347546,340886,334433
